HGNC	criteria
ACY3	'Age-related changes in gene expression, methylation or protein activity in humans'
ADAM10	'Age-related changes in gene expression, methylation or protein activity in humans'
ADAM8	'Age-related changes in gene expression, methylation or protein activity in humans'
ADAMTS1	'Age-related changes in gene expression, methylation or protein activity'
ADAMTS20	'Changes in gene activity extend non-mammalian lifespan'
ADAMTS20	'Regulation of genes associated with aging'
ADAMTS20	'Changes in gene activity protect against age-related impairment'
ADAMTS5	'Age-related changes in gene expression, methylation or protein activity in humans'
ADAP1	'Age-related changes in gene expression, methylation or protein activity in humans'
ADCY1	'Association of genetic variants and gene expression levels with longevity'
ADCY3	'Age-related changes in gene expression, methylation or protein activity in humans'
ADCY5	'Changes in gene activity extend mammalian lifespan'
ADCY5	'Changes in gene activity protect against age-related impairment'
ADD3	'Age-related changes in gene expression, methylation or protein activity in humans'
ADGRE1	'Age-related changes in gene expression, methylation or protein activity in humans'
ADGRE5	'Age-related changes in gene expression, methylation or protein activity in humans'
ADGRL1	'Age-related changes in gene expression, methylation or protein activity in humans'
ADH1A	'Age-related changes in gene expression, methylation or protein activity in humans'
ADH1B	'Age-related changes in gene expression, methylation or protein activity in humans'
ADIPOQ	'Age-related changes in gene expression, methylation or protein activity in humans'
ADIPOQ	'Changes in gene activity protect against age-related impairment'
ADIPOQ	'Association of genetic variants and gene expression levels with longevity'
ADIRF	'Age-related changes in gene expression, methylation or protein activity in humans'
ADK	'Age-related changes in gene expression, methylation or protein activity in humans'
ADPRS	'Age-related changes in gene expression, methylation or protein activity in humans'
ADRA1A	'Changes in gene activity extend mammalian lifespan'
ADRA1A	'Changes in gene activity protect against age-related impairment'
ADRA1A	'Association of genetic variants and gene expression levels with longevity'
ADRA1B	'Changes in gene activity reduce mammalian lifespan'
ADRB2	'Association of genetic variants and gene expression levels with longevity'
AFG1L	'Age-related changes in gene expression, methylation or protein activity in humans'
AGER	'Age-related changes in gene expression, methylation or protein activity'
AGER	'Age-related changes in gene expression, methylation or protein activity in humans'
AGER	'Regulation of genes associated with aging'
AGER	'Changes in gene activity protect against age-related impairment'
AGER	'Changes in gene activity enhance age-related deterioration'
AGER	'Association of genetic variants and gene expression levels with longevity'
AGFG1	'Age-related changes in gene expression, methylation or protein activity in humans'
AGFG2	'Age-related changes in gene expression, methylation or protein activity in humans'
AGO2	'Age-related changes in gene expression, methylation or protein activity in humans'
AGO4	'Age-related changes in gene expression, methylation or protein activity in humans'
AGPAT1	'Age-related changes in gene expression, methylation or protein activity in humans'
AGT	'Age-related changes in gene expression, methylation or protein activity in humans'
AGTR1	'Changes in gene activity extend mammalian lifespan'
AGTR1	'Association of genetic variants and gene expression levels with longevity'
AGTR1	'Changes in gene activity protect against age-related impairment'
AGTR1	'Regulation of genes associated with aging'
AHCYL1	'Age-related changes in gene expression, methylation or protein activity in humans'
AHCYL2	'Age-related changes in gene expression, methylation or protein activity in humans'
AHNAK	'Age-related changes in gene expression, methylation or protein activity in humans'
AHR	'Age-related changes in gene expression, methylation or protein activity in humans'
AHSA2P	'Age-related changes in gene expression, methylation or protein activity in humans'
AHSP	'Age-related changes in gene expression, methylation or protein activity in humans'
AIDA	'Age-related changes in gene expression, methylation or protein activity in humans'
AIF1	'Association of genetic variants and gene expression levels with longevity'
AIFM1	'Age-related changes in gene expression, methylation or protein activity in humans'
AIP	'Age-related changes in gene expression, methylation or protein activity in humans'
AK2	'Age-related changes in gene expression, methylation or protein activity in humans'
AKAP13	'Age-related changes in gene expression, methylation or protein activity in humans'
AKAP7	'Age-related changes in gene expression, methylation or protein activity in humans'
AKAP8	'Age-related changes in gene expression, methylation or protein activity in humans'
AKAP9	'Age-related changes in gene expression, methylation or protein activity in humans'
AKR1C2	'Association of genetic variants and gene expression levels with longevity'
AKT1	'Changes in gene activity extend non-mammalian lifespan'
AKT1	'Changes in gene activity extend mammalian lifespan'
AKT1	'Age-related changes in gene expression, methylation or protein activity'
AKT1	'Changes in gene activity protect against age-related impairment'
AKT1	'Changes in gene activity reduce non-mammalian lifespan'
AKT1	'Changes in gene activity enhance age-related deterioration'
AKT1	'Regulation of genes associated with aging'
AKT1	'Association of genetic variants and gene expression levels with longevity'
AKT1S1	'Association of genetic variants and gene expression levels with longevity'
AKT1S1	'Age-related changes in gene expression, methylation or protein activity'
AKT2	'Changes in gene activity extend mammalian lifespan'
AKT2	'Changes in gene activity protect against age-related impairment'
AKT2	'Changes in gene activity enhance age-related deterioration'
AKT2	'Changes in gene activity extend non-mammalian lifespan'
AKT2	'Changes in gene activity reduce non-mammalian lifespan'
AKT3	'Age-related changes in gene expression, methylation or protein activity in humans'
AKT3	'Changes in gene activity extend non-mammalian lifespan'
AKT3	'Changes in gene activity protect against age-related impairment'
AKT3	'Changes in gene activity reduce non-mammalian lifespan'
AKTIP	'Age-related changes in gene expression, methylation or protein activity in humans'
ALB	'Age-related changes in gene expression, methylation or protein activity in humans'
ALB	'Regulation of genes associated with aging'
ALB	'Changes in gene activity protect against age-related impairment'
ALB	'Changes in gene activity extend mammalian lifespan'
ALDH1B1	'Age-related changes in gene expression, methylation or protein activity in humans'
ALDH4A1	'Age-related changes in gene expression, methylation or protein activity in humans'
ALDH6A1	'Age-related changes in gene expression, methylation or protein activity in humans'
ALDH9A1	'Age-related changes in gene expression, methylation or protein activity in humans'
ALKBH7	'Age-related changes in gene expression, methylation or protein activity in humans'
ALOX12	'Age-related changes in gene expression, methylation or protein activity'
ALOX5AP	'Age-related changes in gene expression, methylation or protein activity in humans'
ALPK3	'Age-related changes in gene expression, methylation or protein activity in humans'
AMOT	'Age-related changes in gene expression, methylation or protein activity in humans'
AMOTL2	'Age-related changes in gene expression, methylation or protein activity in humans'
ANAPC5	'Age-related changes in gene expression, methylation or protein activity in humans'
ANK2	'Changes in gene activity reduce non-mammalian lifespan'
ANK2	'Changes in gene activity enhance age-related deterioration'
ANK2	'Age-related changes in gene expression, methylation or protein activity in humans'
ANK3	'Age-related changes in gene expression, methylation or protein activity in humans'
ANKRD13C	'Age-related changes in gene expression, methylation or protein activity in humans'
ANKRD20A9P	'Association of genetic variants and gene expression levels with longevity'
ANP32B	'Age-related changes in gene expression, methylation or protein activity in humans'
ANXA1	'Age-related changes in gene expression, methylation or protein activity in humans'
ANXA3	'Age-related changes in gene expression, methylation or protein activity in humans'
ANXA4	'Age-related changes in gene expression, methylation or protein activity in humans'
ANXA5	'Age-related changes in gene expression, methylation or protein activity in humans'
ANXA7	'Age-related changes in gene expression, methylation or protein activity in humans'
AOX1	'Association of genetic variants and gene expression levels with longevity'
AP2B1	'Age-related changes in gene expression, methylation or protein activity in humans'
AP3S1	'Age-related changes in gene expression, methylation or protein activity in humans'
AP4S1	'Age-related changes in gene expression, methylation or protein activity in humans'
APBB1	'Age-related changes in gene expression, methylation or protein activity in humans'
APBB3	'Age-related changes in gene expression, methylation or protein activity in humans'
APC	'Age-related changes in gene expression, methylation or protein activity'
APEX1	'Age-related changes in gene expression, methylation or protein activity'
APEX1	'Changes in gene activity reduce non-mammalian lifespan'
API5	'Age-related changes in gene expression, methylation or protein activity in humans'
APOB	'Association of genetic variants and gene expression levels with longevity'
APOBEC3A	'Age-related changes in gene expression, methylation or protein activity in humans'
APOBEC3G	'Age-related changes in gene expression, methylation or protein activity in humans'
APOC1	'Association of genetic variants and gene expression levels with longevity'
APOC3	'Association of genetic variants and gene expression levels with longevity'
APOD	'Age-related changes in gene expression, methylation or protein activity in humans'
APOE	'Association of genetic variants and gene expression levels with longevity'
APOE	'Changes in gene activity reduce mammalian lifespan'
APOE	'Changes in gene activity enhance age-related deterioration'
APP	'Changes in gene activity enhance age-related deterioration'
APP	'Age-related changes in gene expression, methylation or protein activity'
APPBP1	'Age-related changes in gene expression, methylation or protein activity in humans'
APPBP2	'Age-related changes in gene expression, methylation or protein activity in humans'
AR	'Age-related changes in gene expression, methylation or protein activity'
AR	'Changes in gene activity enhance age-related deterioration'
AR	'Changes in gene activity reduce mammalian lifespan'
ARAP3	'Age-related changes in gene expression, methylation or protein activity in humans'
ARF3	'Age-related changes in gene expression, methylation or protein activity in humans'
ARFGAP2	'Age-related changes in gene expression, methylation or protein activity in humans'
ARFGEF1	'Age-related changes in gene expression, methylation or protein activity in humans'
ARFIP1	'Age-related changes in gene expression, methylation or protein activity in humans'
ARHGAP1	'Changes in gene activity reduce mammalian lifespan'
ARHGAP1	'Changes in gene activity enhance age-related deterioration'
ARHGAP1	'Age-related changes in gene expression, methylation or protein activity in humans'
ARHGAP29	'Age-related changes in gene expression, methylation or protein activity in humans'
ARHGAP35	'Age-related changes in gene expression, methylation or protein activity in humans'
ARHGAP45	'Association of genetic variants and gene expression levels with longevity'
ARHGEF18	'Age-related changes in gene expression, methylation or protein activity in humans'
ARHGEF3	'Age-related changes in gene expression, methylation or protein activity in humans'
ARHGEF5	'Age-related changes in gene expression, methylation or protein activity in humans'
ARHGEF6	'Age-related changes in gene expression, methylation or protein activity in humans'
ARHGEF7	'Age-related changes in gene expression, methylation or protein activity in humans'
ARHGEF9	'Age-related changes in gene expression, methylation or protein activity in humans'
ARIH1	'Age-related changes in gene expression, methylation or protein activity in humans'
ARL2BP	'Age-related changes in gene expression, methylation or protein activity in humans'
ARMCX3	'Age-related changes in gene expression, methylation or protein activity in humans'
ARPC5L	'Age-related changes in gene expression, methylation or protein activity in humans'
ARPP19	'Age-related changes in gene expression, methylation or protein activity in humans'
ARPP21	'Age-related changes in gene expression, methylation or protein activity in humans'
ASB12	'Age-related changes in gene expression, methylation or protein activity in humans'
ASB17	'Association of genetic variants and gene expression levels with longevity'
ASCC1	'Age-related changes in gene expression, methylation or protein activity in humans'
ASCL1	'Age-related changes in gene expression, methylation or protein activity in humans'
ASF1A	'Age-related changes in gene expression, methylation or protein activity in humans'
ASIC2	'Association of genetic variants and gene expression levels with longevity'
ASL	'Age-related changes in gene expression, methylation or protein activity in humans'
ASMTL	'Age-related changes in gene expression, methylation or protein activity in humans'
ASXL1	'Age-related changes in gene expression, methylation or protein activity in humans'
ATF2	'Age-related changes in gene expression, methylation or protein activity'
ATF2	'Age-related changes in gene expression, methylation or protein activity in non-mammals'
ATF2	'Age-related changes in gene expression, methylation or protein activity in humans'
ATF2	'Regulation of genes associated with aging'
ATG12	'Age-related changes in gene expression, methylation or protein activity in humans'
ATG4B	'Age-related changes in gene expression, methylation or protein activity in humans'
ATG5	'Regulation of genes associated with aging'
ATG5	'Changes in gene activity extend mammalian lifespan'
ATG5	'Changes in gene activity protect against age-related impairment'
ATM	'Association of genetic variants and gene expression levels with longevity'
ATM	'Regulation of genes associated with aging'
ATM	'Changes in gene activity protect against age-related impairment'
ATM	'Changes in gene activity enhance age-related deterioration'
ATM	'Age-related changes in gene expression, methylation or protein activity in humans'
ATOX1	'Age-related changes in gene expression, methylation or protein activity in humans'
ATP1B4	'Age-related changes in gene expression, methylation or protein activity in humans'
ATP2A2	'Age-related changes in gene expression, methylation or protein activity in humans'
ATP2B2	'Age-related changes in gene expression, methylation or protein activity in humans'
ATP5F1A	'Age-related changes in gene expression, methylation or protein activity in humans'
ATP5F1C	'Age-related changes in gene expression, methylation or protein activity in humans'
ATP5MC1	'Age-related changes in gene expression, methylation or protein activity in humans'
ATP5MC3	'Age-related changes in gene expression, methylation or protein activity in humans'
ATP5ME	'Age-related changes in gene expression, methylation or protein activity in humans'
ATP5PD	'Age-related changes in gene expression, methylation or protein activity in humans'
ATP5PF	'Age-related changes in gene expression, methylation or protein activity in humans'
ATP5PO	'Age-related changes in gene expression, methylation or protein activity'
ATP5PO	'Changes in gene activity extend non-mammalian lifespan'
ATP5PO	'Age-related changes in gene expression, methylation or protein activity in humans'
ATP5PO	'Changes in gene activity reduce non-mammalian lifespan'
ATP6V0B	'Age-related changes in gene expression, methylation or protein activity in humans'
ATP6V1A	'Age-related changes in gene expression, methylation or protein activity in humans'
ATP6V1G2	'Age-related changes in gene expression, methylation or protein activity in humans'
ATP6V1H	'Age-related changes in gene expression, methylation or protein activity in humans'
ATP7A	'Age-related changes in gene expression, methylation or protein activity in humans'
ATPAF1	'Age-related changes in gene expression, methylation or protein activity in humans'
ATR	'Regulation of genes associated with aging'
ATR	'Changes in gene activity extend non-mammalian lifespan'
ATR	'Changes in gene activity enhance age-related deterioration'
ATR	'Changes in gene activity reduce mammalian lifespan'
ATR	'Changes in gene activity protect against age-related impairment'
ATRX	'Age-related changes in gene expression, methylation or protein activity in humans'
ATXN2	'Association of genetic variants and gene expression levels with longevity'
AUH	'Age-related changes in gene expression, methylation or protein activity in humans'
AVL9	'Age-related changes in gene expression, methylation or protein activity in humans'
AVPI1	'Age-related changes in gene expression, methylation or protein activity in humans'
AZIN1	'Age-related changes in gene expression, methylation or protein activity in humans'
B3GALNT1	'Age-related changes in gene expression, methylation or protein activity in humans'
B3GAT1	'Age-related changes in gene expression, methylation or protein activity in humans'
B3GLCT	'Association of genetic variants and gene expression levels with longevity'
B3GNT2	'Age-related changes in gene expression, methylation or protein activity in humans'
B4GALT1	'Age-related changes in gene expression, methylation or protein activity in humans'
B4GAT1	'Age-related changes in gene expression, methylation or protein activity in humans'
BACE2	'Association of genetic variants and gene expression levels with longevity'
BACH2	'Age-related changes in gene expression, methylation or protein activity in humans'
BAD	'Age-related changes in gene expression, methylation or protein activity'
BAD	'Regulation of genes associated with aging'
BAK1	'Age-related changes in gene expression, methylation or protein activity'
BAMBI	'Age-related changes in gene expression, methylation or protein activity in humans'
BAX	'Age-related changes in gene expression, methylation or protein activity'
BAZ2A	'Changes in gene activity protect against age-related impairment'
BAZ2A	'Changes in gene activity enhance age-related deterioration'
BAZ2A	'Regulation of genes associated with aging'
BBOX1	'Age-related changes in gene expression, methylation or protein activity in humans'
BCL11A	'Age-related changes in gene expression, methylation or protein activity in humans'
BCL11B	'Age-related changes in gene expression, methylation or protein activity in humans'
BCL2	'Age-related changes in gene expression, methylation or protein activity'
BCL2	'Age-related changes in gene expression, methylation or protein activity in humans'
BCL2L2	'Changes in gene activity extend non-mammalian lifespan'
BCL2L2	'Age-related changes in gene expression, methylation or protein activity in humans'
BCL2L2	'Changes in gene activity protect against age-related impairment'
BCL3	'Association of genetic variants and gene expression levels with longevity'
BCL6	'Age-related changes in gene expression, methylation or protein activity in humans'
BCS1L	'Age-related changes in gene expression, methylation or protein activity in humans'
BDNF	'Age-related changes in gene expression, methylation or protein activity'
BDNF	'Changes in gene activity protect against age-related impairment'
BECN1	'Changes in gene activity extend mammalian lifespan'
BEND3	'Association of genetic variants and gene expression levels with longevity'
BEND4	'Association of genetic variants and gene expression levels with longevity'
BEX3	'Age-related changes in gene expression, methylation or protein activity in humans'
BFSP1	'Association of genetic variants and gene expression levels with longevity'
BHLHE41	'Age-related changes in gene expression, methylation or protein activity in humans'
BIK	'Age-related changes in gene expression, methylation or protein activity in humans'
BIN1	'Age-related changes in gene expression, methylation or protein activity in humans'
BIRC2	'Age-related changes in gene expression, methylation or protein activity in humans'
BIRC5	'Age-related changes in gene expression, methylation or protein activity'
BLM	'Association of the gene with accelerated aging in humans'
BLM	'Changes in gene activity reduce non-mammalian lifespan'
BLM	'Regulation of genes associated with aging'
BLM	'Changes in gene activity enhance age-related deterioration'
BLMH	'Age-related changes in gene expression, methylation or protein activity in humans'
BMAL1	'Changes in gene activity reduce mammalian lifespan'
BMAL1	'Changes in gene activity enhance age-related deterioration'
BMI1	'Age-related changes in gene expression, methylation or protein activity'
BMI1	'Age-related changes in gene expression, methylation or protein activity in humans'
BMP5	'Age-related changes in gene expression, methylation or protein activity in humans'
BNIP3	'Age-related changes in gene expression, methylation or protein activity in humans'
BNIP3L	'Age-related changes in gene expression, methylation or protein activity in humans'
BOP1	'Age-related changes in gene expression, methylation or protein activity in humans'
BPHL	'Age-related changes in gene expression, methylation or protein activity in humans'
BPIFB4	'Association of genetic variants and gene expression levels with longevity'
BPIFB4	'Age-related changes in gene expression, methylation or protein activity in humans'
BPIFB4	'Changes in gene activity protect against age-related impairment'
BRAF	'Age-related changes in gene expression, methylation or protein activity in humans'
BRAP	'Age-related changes in gene expression, methylation or protein activity in humans'
BRCA1	'Age-related changes in gene expression, methylation or protein activity'
BRCA1	'Age-related changes in gene expression, methylation or protein activity in humans'
BRCA1	'Association of genetic variants and gene expression levels with longevity'
BRCA1	'Changes in gene activity reduce mammalian lifespan'
BRCA1	'Changes in gene activity enhance age-related deterioration'
BRCA2	'Age-related changes in gene expression, methylation or protein activity'
BRCA2	'Regulation of genes associated with aging'
BRD1	'Association of genetic variants and gene expression levels with longevity'
BRD2	'Age-related changes in gene expression, methylation or protein activity in humans'
BRF2	'Age-related changes in gene expression, methylation or protein activity in humans'
BSCL2	'Association of the gene with accelerated aging in humans'
BTBD9	'Association of genetic variants and gene expression levels with longevity'
BTNL2	'Association of genetic variants and gene expression levels with longevity'
BTNL3	'Age-related changes in gene expression, methylation or protein activity in humans'
BTRC	'Age-related changes in gene expression, methylation or protein activity'
BUB1B	'Changes in gene activity extend mammalian lifespan'
BUB1B	'Changes in gene activity protect against age-related impairment'
BUB3	'Changes in gene activity extend non-mammalian lifespan'
BUB3	'Age-related changes in gene expression, methylation or protein activity in humans'
C10orf35	'Age-related changes in gene expression, methylation or protein activity in humans'
C17orf75	'Age-related changes in gene expression, methylation or protein activity in humans'
C1QA	'Age-related changes in gene expression, methylation or protein activity'
C1QA	'Age-related changes in gene expression, methylation or protein activity in humans'
C1QB	'Age-related changes in gene expression, methylation or protein activity'
C1QB	'Age-related changes in gene expression, methylation or protein activity in humans'
C1QBP	'Age-related changes in gene expression, methylation or protein activity in humans'
C1QC	'Age-related changes in gene expression, methylation or protein activity in humans'
C1QL1	'Age-related changes in gene expression, methylation or protein activity in humans'
C1S	'Age-related changes in gene expression, methylation or protein activity in humans'
C2	'Association of genetic variants and gene expression levels with longevity'
C3	'Association of genetic variants and gene expression levels with longevity'
C3	'Age-related changes in gene expression, methylation or protein activity in humans'
C3AR1	'Age-related changes in gene expression, methylation or protein activity in humans'
C4A	'Age-related changes in gene expression, methylation or protein activity in humans'
C4B	'Age-related changes in gene expression, methylation or protein activity in humans'
C5	'Age-related changes in gene expression, methylation or protein activity in humans'
C5AR1	'Age-related changes in gene expression, methylation or protein activity in humans'
C7	'Age-related changes in gene expression, methylation or protein activity in humans'
C9orf85	'Age-related changes in gene expression, methylation or protein activity in humans'
CA14	'Age-related changes in gene expression, methylation or protein activity in humans'
CA2	'Age-related changes in gene expression, methylation or protein activity in humans'
CA3	'Age-related changes in gene expression, methylation or protein activity in humans'
CA4	'Age-related changes in gene expression, methylation or protein activity in humans'
CACNA1A	'Age-related changes in gene expression, methylation or protein activity'
CACNA1C	'Association of genetic variants and gene expression levels with longevity'
CACNB1	'Age-related changes in gene expression, methylation or protein activity in humans'
CACNB2	'Age-related changes in gene expression, methylation or protein activity in humans'
CACNG1	'Age-related changes in gene expression, methylation or protein activity in humans'
CACNG4	'Age-related changes in gene expression, methylation or protein activity in humans'
CADM1	'Age-related changes in gene expression, methylation or protein activity in humans'
CADM2	'Association of genetic variants and gene expression levels with longevity'
CALB1	'Age-related changes in gene expression, methylation or protein activity in humans'
CALB2	'Age-related changes in gene expression, methylation or protein activity in humans'
CALD1	'Age-related changes in gene expression, methylation or protein activity in humans'
CALM1	'Age-related changes in gene expression, methylation or protein activity in humans'
CALM3	'Age-related changes in gene expression, methylation or protein activity in humans'
CAMK2A	'Age-related changes in gene expression, methylation or protein activity in humans'
CAMK2B	'Association of genetic variants and gene expression levels with longevity'
CAMK4	'Age-related changes in gene expression, methylation or protein activity in humans'
CAMKK2	'Age-related changes in gene expression, methylation or protein activity in humans'
CAMTA1	'Age-related changes in gene expression, methylation or protein activity in humans'
CAP2	'Age-related changes in gene expression, methylation or protein activity in humans'
CAPG	'Age-related changes in gene expression, methylation or protein activity in humans'
CAPN15	'Age-related changes in gene expression, methylation or protein activity in humans'
CAPN2	'Age-related changes in gene expression, methylation or protein activity in humans'
CAPN7	'Age-related changes in gene expression, methylation or protein activity in humans'
CAPZA2	'Age-related changes in gene expression, methylation or protein activity in humans'
CARHSP1	'Age-related changes in gene expression, methylation or protein activity in humans'
CARS1	'Association of genetic variants and gene expression levels with longevity'
CASP1	'Age-related changes in gene expression, methylation or protein activity in humans'
CASP1	'Changes in gene activity protect against age-related impairment'
CASP10	'Age-related changes in gene expression, methylation or protein activity in humans'
CASP2	'Changes in gene activity reduce mammalian lifespan'
CASP2	'Changes in gene activity enhance age-related deterioration'
CAST	'Age-related changes in gene expression, methylation or protein activity in humans'
CAT	'Changes in gene activity extend mammalian lifespan'
CAT	'Age-related changes in gene expression, methylation or protein activity'
CAT	'Changes in gene activity protect against age-related impairment'
CAV1	'Changes in gene activity reduce mammalian lifespan'
CAV1	'Changes in gene activity enhance age-related deterioration'
CAV1	'Changes in gene activity extend mammalian lifespan'
CAV1	'Age-related changes in gene expression, methylation or protein activity in humans'
CAV2	'Age-related changes in gene expression, methylation or protein activity in humans'
CBFA2T2	'Age-related changes in gene expression, methylation or protein activity in humans'
CBLB	'Age-related changes in gene expression, methylation or protein activity in humans'
CBS	'Age-related changes in gene expression, methylation or protein activity in humans'
CBX4	'Age-related changes in gene expression, methylation or protein activity in humans'
CBX5	'Age-related changes in gene expression, methylation or protein activity in humans'
CCDC88C	'Age-related changes in gene expression, methylation or protein activity in humans'
CCKBR	'Age-related changes in gene expression, methylation or protein activity in humans'
CCL5	'Association of genetic variants and gene expression levels with longevity'
CCL5	'Age-related changes in gene expression, methylation or protein activity in humans'
CCN4	'Age-related changes in gene expression, methylation or protein activity'
CCN5	'Age-related changes in gene expression, methylation or protein activity in humans'
CCND1	'Age-related changes in gene expression, methylation or protein activity'
CCND2	'Age-related changes in gene expression, methylation or protein activity'
CCND2	'Age-related changes in gene expression, methylation or protein activity in humans'
CCNG2	'Age-related changes in gene expression, methylation or protein activity in humans'
CCNH	'Age-related changes in gene expression, methylation or protein activity in humans'
CCNL2	'Age-related changes in gene expression, methylation or protein activity in humans'
CCR1	'Age-related changes in gene expression, methylation or protein activity in humans'
CCR7	'Age-related changes in gene expression, methylation or protein activity in humans'
CD14	'Age-related changes in gene expression, methylation or protein activity in humans'
CD163	'Age-related changes in gene expression, methylation or protein activity in humans'
CD244	'Age-related changes in gene expression, methylation or protein activity in humans'
CD27	'Age-related changes in gene expression, methylation or protein activity in humans'
CD28	'Age-related changes in gene expression, methylation or protein activity in humans'
CD2AP	'Age-related changes in gene expression, methylation or protein activity in humans'
CD3G	'Age-related changes in gene expression, methylation or protein activity in humans'
CD44	'Age-related changes in gene expression, methylation or protein activity in humans'
CD46	'Age-related changes in gene expression, methylation or protein activity in humans'
CD47	'Age-related changes in gene expression, methylation or protein activity in humans'
CD5	'Age-related changes in gene expression, methylation or protein activity in humans'
CD55	'Age-related changes in gene expression, methylation or protein activity in humans'
CD58	'Age-related changes in gene expression, methylation or protein activity in humans'
CD59	'Age-related changes in gene expression, methylation or protein activity in humans'
CD7	'Age-related changes in gene expression, methylation or protein activity in humans'
CD80	'Age-related changes in gene expression, methylation or protein activity in humans'
CD96	'Age-related changes in gene expression, methylation or protein activity in humans'
CDC14B	'Changes in gene activity enhance age-related deterioration'
CDC14B	'Age-related changes in gene expression, methylation or protein activity in humans'
CDC16	'Age-related changes in gene expression, methylation or protein activity in humans'
CDC26	'Age-related changes in gene expression, methylation or protein activity in humans'
CDC40	'Age-related changes in gene expression, methylation or protein activity in humans'
CDC42	'Age-related changes in gene expression, methylation or protein activity'
CDC42	'Changes in gene activity extend mammalian lifespan'
CDC42	'Changes in gene activity protect against age-related impairment'
CDC42EP3	'Age-related changes in gene expression, methylation or protein activity in humans'
CDC5L	'Age-related changes in gene expression, methylation or protein activity in humans'
CDH13	'Age-related changes in gene expression, methylation or protein activity in humans'
CDH22	'Age-related changes in gene expression, methylation or protein activity in humans'
CDH4	'Association of genetic variants and gene expression levels with longevity'
CDHR2	'Age-related changes in gene expression, methylation or protein activity in humans'
CDK11A	'Age-related changes in gene expression, methylation or protein activity in humans'
CDK13	'Age-related changes in gene expression, methylation or protein activity in humans'
CDK2	'Age-related changes in gene expression, methylation or protein activity in humans'
CDK5R1	'Age-related changes in gene expression, methylation or protein activity in humans'
CDK7	'Changes in gene activity reduce mammalian lifespan'
CDK7	'Changes in gene activity enhance age-related deterioration'
CDKN1A	'Age-related changes in gene expression, methylation or protein activity'
CDKN1A	'Age-related changes in gene expression, methylation or protein activity in humans'
CDKN1A	'Changes in gene activity protect against age-related impairment'
CDKN1A	'Association of genetic variants and gene expression levels with longevity'
CDKN2A	'Changes in gene activity extend mammalian lifespan'
CDKN2A	'Age-related changes in gene expression, methylation or protein activity in humans'
CDKN2A	'Changes in gene activity protect against age-related impairment'
CDKN2B	'Changes in gene activity protect against age-related impairment'
CDKN2B	'Association of genetic variants and gene expression levels with longevity'
CDKN2B	'Age-related changes in gene expression, methylation or protein activity in humans'
CDKN2B-AS1	'Association of genetic variants and gene expression levels with longevity'
