HGNC	model organism	sex	line	effect on lifespan	lifespan % change - mean	lifespan % change - median	lifespan % change - max	intervention deteriorates	intervention improves	main effect on lifespan	intervention method	tissue	doi	pmid
POU1F1	mouse	female	DW/J	increases lifespan	48	51	40			loss of function	gene knockout		10.1016/s0047-6374(01)00339-6	n/a
POU1F1	mouse	female	DWC3F1 Pit1+/?	increases lifespan	42	51	24			loss of function	gene knockout		10.1016/s0047-6374(01)00339-6	n/a
PROP1	mouse	female	n/a	increases lifespan	68	91	44			loss of function	gene knockout		10.1038/384033a0	n/a
PROP1	mouse	male	n/a	increases lifespan	49	65	46			loss of function	gene knockout		10.1038/384033a0	n/a
PROP1	mouse	all	n/a	increases lifespan	n/a	37	39		insulin sensitivity,INS/IGFR pathway	loss of function	gene knockout		10.1093/gerona/glp024	n/a
PROP1	mouse	all	n/a	increases lifespan	n/a	48	60		insulin sensitivity,INS/IGFR pathway	loss of function	gene knockout		10.1093/gerona/glp024	n/a
PROP1	mouse	female	n/a	increases lifespan	n/a	52.1	44.7		glucose metabolism,INS/IGFR pathway	loss of function	gene knockout		10.1093/gerona/glw193	n/a
PROP1	mouse	male	n/a	increases lifespan	n/a	11.9	13.3		glucose metabolism,INS/IGFR pathway	loss of function	gene knockout		10.1093/gerona/glw193	n/a
TP53	mouse	not specified	C57BL/6 x 129/Sv	decreases lifespan	n/a	-17.3	n/a	carcinogenesis,apoptosis,blood		switch of function	gene modification to affect product activity/stability		10.1158/0008-5472.CAN-07-1610	18089799 
TP53	mouse	not specified	C57BL/6 x 129/Sv	decreases lifespan	n/a	-4	n/a	carcinogenesis,blood		switch of function	gene modification to affect product activity/stability		10.1158/0008-5472.CAN-07-1610	18089799 
TP53	mouse	not specified	C57BL/6 x 129/Sv	decreases lifespan	n/a	-32.7	n/a	carcinogenesis		loss of function	gene knockout		10.1158/0008-5472.CAN-07-1610	18089799 
TP53	mouse	not specified	C57BL/6 x 129/Sv	decreases lifespan	n/a	-27.6	n/a	carcinogenesis		loss of function	gene knockout		10.1158/0008-5472.CAN-07-1610	18089799 
TP53	mouse	not specified	C57BL/6 x 129/Sv	decreases lifespan	n/a	-18.6	-17.7	senescence,bone,muscle,body composition,blood	carcinogenesis	loss of function	gene modification		10.1038/415045a	11780111
TP53	mouse	not specified	C57BL/6 x 129/Sv	decreases lifespan	n/a	-39	-33.3			loss of function	gene knockout		10.1038/415045a	11780111
TP53	mouse	female	C57BL/6	decreases lifespan	n/a	-68.1	n/a	senescence,bone,body composition,INS/IGFR pathway,proliferation		switch of function	gene modification		10.1101/gad.1162404	14871929
TP53	mouse	male	C57BL/6	decreases lifespan	n/a	-63.9	n/a	senescence,bone,body composition,reproductive function,INS/IGFR pathway,proliferation		switch of function	gene modification		10.1101/gad.1162404	14871929
TP53	mouse	not specified	C57BL/6 x 129/Sv	decreases lifespan	n/a	n/a	n/a			loss of function	gene knockout		10.1002/mc.20068	15584024
TP53	mouse	not specified	C57BL/6	increases lifespan in animals with decreased lifespans	n/a	13.6	n/a		DNA metabolism,carcinogenesis,apoptosis	gain of function	additional copies of a gene in the genome		10.1093/emboj/cdf595	12426394
TP53	fly Drosophila melanogaster	female	w1118	decreases lifespan	n/a	-20	-7			loss of function	gene knockout		10.1016/j.cub.2005.10.051	16303568
TP53	fly Drosophila melanogaster	male	w1118	decreases lifespan	n/a	-13	-8			loss of function	gene knockout		10.1016/j.cub.2005.10.051	16303568
TP53	fly Drosophila melanogaster	female	w1118	increases lifespan	51	58	15			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	neurons	10.1016/j.cub.2005.10.051	16303568
TP53	fly Drosophila melanogaster	male	w1118	increases lifespan	37	32	5			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	neurons	10.1016/j.cub.2005.10.051	16303568
TP53	fly Drosophila melanogaster	female	n/a	increases lifespan	18	26	10			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	neurons	10.1016/j.cub.2005.10.051	16303568
TP53	fly Drosophila melanogaster	female	n/a	increases lifespan	15	18	16			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	neurons	10.1016/j.cub.2005.10.051	16303568
TP53	fly Drosophila melanogaster	female	n/a	increases lifespan	15	11	10			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	neurons	10.1016/j.cub.2005.10.051	16303568
TP53	fly Drosophila melanogaster	female	n/a	increases lifespan	14	13	10			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	neurons	10.1016/j.cub.2005.10.051	16303568
TP53	fly Drosophila melanogaster	female	n/a	increases lifespan	n/a	11	11		oxidation/antioxidant function	loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	neurons	10.1016/j.cub.2005.10.051	16303568
TP53	fly Drosophila melanogaster	male	n/a	increases lifespan	n/a	13	11		oxidation/antioxidant function	loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	neurons	10.1016/j.cub.2005.10.051	16303568
TP53	fly Drosophila melanogaster	female	n/a	no change	n/a	0	9			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	neurons	10.1016/j.cub.2005.10.051	16303568
TP53	fly Drosophila melanogaster	male	n/a	decreases lifespan	n/a	-3	5			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	neurons	10.1016/j.cub.2005.10.051	16303568
TP53	fly Drosophila melanogaster	female	w1118	increases lifespan	n/a	3	0			gain of function	additional copies of a gene in the genome	neurons	10.1016/j.cub.2005.10.051	16303568
TP53	fly Drosophila melanogaster	female	n/a	decreases lifespan	n/a	-15	-11			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	muscle	10.1016/j.cub.2005.10.051	16303568
TP53	fly Drosophila melanogaster	female	n/a	decreases lifespan	n/a	-5	-16			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	fat body	10.1016/j.cub.2005.10.051	16303568
TP53	fly Drosophila melanogaster	female	n/a	decreases lifespan	n/a	-8	-2			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	fat body	10.1016/j.cub.2005.10.051	16303568
TP53	fly Drosophila melanogaster	female	w1118	increases lifespan	24	11	58			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	neurons	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	female	w1118	increases lifespan	19	21	3			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	neurons	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	female	w1118	increases lifespan	2.5	4	0			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	dopaminergic neurons	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	female	w1118	decreases lifespan	-11	-5	-13			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	glia	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	female	w1118	decreases lifespan	-7	-8	0			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	brain	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	female	w1118	increases lifespan	3	0	0			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	brain	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	female	w1118	decreases lifespan	-10	-19	-3			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	corpora cardiaca	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	female	w1118	increases lifespan	19	13	12.5			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	insulin-producing cells	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	female	w1118	increases lifespan	12	10	5			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	insulin-producing cells	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	female	w1118	increases lifespan	18	19	8			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	insulin-producing cells	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	female	w1118	increases lifespan	14	12	14			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	insulin-producing cells	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	female	w1118	decreases lifespan	-4	-3	-10			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	insulin-producing cells	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	female	w1118	increases lifespan	6	4	3			gain of function	additional copies of a gene in the genome	insulin-producing cells	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	male	w1118	increases lifespan	7	8	9			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	neurons	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	male	w1118	no change	0	0	0			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	neurons	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	male	w1118	increases lifespan	1	5	4			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	dopaminergic neurons	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	male	w1118	increases lifespan	3	4	2			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	glia	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	male	w1118	increases lifespan	15	0	0			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	brain	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	male	w1118	increases lifespan	2	6	0			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	brain	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	male	w1118	increases lifespan	13	0	10			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	insulin-producing cells	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	male	w1118	increases lifespan	18	10	-5			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	insulin-producing cells	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	male	w1118	increases lifespan	9	10	3			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	insulin-producing cells	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	male	w1118	increases lifespan	13	10	15			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	insulin-producing cells	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	male	w1118	increases lifespan	3	3	5			loss of function	addition to the genome of a dominant-negative gene variant that reduces the activity of an endogenous protein	insulin-producing cells	10.1073/pnas.0706121104	17686972
TP53	fly Drosophila melanogaster	male	w1118	decreases lifespan	-13	-7	8			gain of function	additional copies of a gene in the genome	insulin-producing cells	10.1073/pnas.0706121104	17686972
TERC	mouse	not specified	unknown background, G6	decreases lifespan	n/a	-31.3	n/a	building and protection of telomeres,skin,body composition,carcinogenesis,eyesight,tissue regeneration,reproductive function,hair/coat		loss of function	gene knockout		10.1016/S0092-8674(00)80580-2	n/a
TERC	mouse	not specified	C57BL/6	decreases lifespan	n/a	-11.3	n/a	building and protection of telomeres,body composition		loss of function	gene knockout		10.1038/sj.embor.7400667	n/a
TERC	mouse	not specified	C57BL/6, G2	decreases lifespan	n/a	-34.5	n/a	building and protection of telomeres,body composition		loss of function	gene knockout		10.1038/sj.embor.7400667	n/a
TERC	mouse	not specified	C57BL/6, G3	decreases lifespan	n/a	-56.7	n/a	DNA metabolism,building and protection of telomeres,body composition		loss of function	gene knockout		10.1038/sj.embor.7400667	n/a
TERT	mouse	all	C57BL/6	increases lifespan	n/a	18.1	9.1		building and protection of telomeres,insulin sensitivity,nervous system,bone,cognitive function	gain of function	treatment with vector with additional gene copies		10.1002/emmm.201200245	n/a
TERT	mouse	all	C57BL/6	increases lifespan	n/a	16.7	16.3		building and protection of telomeres,insulin sensitivity,nervous system,bone,body composition,cognitive function	gain of function	treatment with vector with additional gene copies		10.1002/emmm.201200245	n/a
TERT	mouse	female	C57BL/6J	increases lifespan	n/a	41.5	40.4		glucose metabolism,mitochondrial function,building and protection of telomeres,body composition,hair/coat,locomotor function	gain of function	treatment with vector with additional gene copies		10.1073/pnas.2121499119	n/a
ATM	mouse	not specified	C57BL/6 × 129/SvEv	decreases survival under stress conditions	n/a	-50	n/a	cognitive function,reproductive function,blood		loss of function	gene knockout		10.1016/S0092-8674(00)80086-0	8689683
PLAU	mouse	female	FVB/N	increases lifespan	n/a	16	16.7	reproductive function	glucose metabolism,body composition	gain of function	gene modification	central nervous system	10.1093/gerona/52a.2.b118	n/a
ERCC2	mouse	male	C57BL/6J	decreases lifespan	n/a	-12	-16.2	DNA metabolism		loss of function	gene modification to reduce protein activity/stability		10.1016/j.mrfmmm.2005.11.008	n/a
ERCC2	mouse	female	C57BL/6	decreases lifespan	n/a	-9.7	-5	skin,body composition,hair/coat,reproductive function		loss of function	gene modification to reduce protein activity/stability		10.1016/j.dnarep.2005.07.002	n/a
LMNA	rabbit	not specified	New Zealand White Rabbits	decreases lifespan	n/a	n/a	n/a	cardiovascular system,lipid metabolism,nervous system,bone,muscle,body composition		loss of function	gene knockout		10.14336/AD.2018.0209	n/a
LMNA	mouse	not specified	n/a	decreases lifespan	n/a	n/a	n/a	senescence,nucleus structure		loss of function	gene knockout		10.1016/j.cell.2012.01.059	n/a
LMNA	fly Drosophila melanogaster	male	w1118	decreases lifespan	n/a	-67.7	-71			loss of function	interfering RNA transgene		10.15698/cst2018.09.152	n/a
LMNA	fly Drosophila melanogaster	male	w1118	decreases lifespan	n/a	-45	-40.8			loss of function	interfering RNA transgene		10.15698/cst2018.09.152	n/a
LMNA	fly Drosophila melanogaster	male	w1118	decreases lifespan	n/a	-45	-38			loss of function	interfering RNA transgene		10.15698/cst2018.09.152	n/a
LMNA	fly Drosophila melanogaster	male	w1118	decreases lifespan	n/a	-66	-64.5			loss of function	interfering RNA transgene		10.15698/cst2018.09.152	n/a
LMNA	fly Drosophila melanogaster	male	w1118	decreases lifespan	n/a	-38.7	-29.6			loss of function	interfering RNA transgene		10.15698/cst2018.09.152	n/a
LMNA	fly Drosophila melanogaster	male	w1118	decreases lifespan	n/a	-65	-62			loss of function	interfering RNA transgene		10.15698/cst2018.09.152	n/a
LMNA	fly Drosophila melanogaster	male	w1118	decreases lifespan	n/a	-42	-35			loss of function	interfering RNA transgene		10.15698/cst2018.09.152	n/a
LMNA	fly Drosophila melanogaster	male	w1118	decreases lifespan	n/a	-63	-61			loss of function	interfering RNA transgene		10.15698/cst2018.09.152	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	60.5	58.3	145.7	reproductive function	oxidation/antioxidant function,stress responce	loss of function	gene knockout		10.1111/j.1474-9726.2005.00150.x	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	n/a	117.6	147.6			loss of function	RNA interferention		10.1002/evl3.108	n/a
IGF1R	mouse	female	129/Sv	increases lifespan	33.1	22.5	22.4		oxidation/antioxidant function	loss of function	gene knockout		10.1038/nature01298	n/a
IGF1R	mouse	male	129/Sv	increases lifespan	16.1	8.9	0.7			loss of function	gene knockout		10.1038/nature01298	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	39.9	54.1	41.9			loss of function	gene knockout		10.1371/journal.pbio.1000245	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	n/a	28	n/a			loss of function	gene knockout		10.1371/journal.pbio.1000245	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	n/a	32.1	n/a			loss of function	gene knockout		10.1371/journal.pbio.1000245	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	91.1	n/a	n/a		oxidation/antioxidant function,stress responce	loss of function	gene modification to reduce protein activity/stability		10.7554/eLife.71335	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	50.6	n/a	n/a		oxidation/antioxidant function,stress responce	loss of function	gene knockout		10.7554/eLife.71335	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	91.6	n/a	n/a		oxidation/antioxidant function,stress responce	loss of function	gene knockout		10.7554/eLife.71335	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	RAF5032	decreases lifespan	-8	n/a	n/a			loss of function	gene modification to reduce protein activity/stability	muscle	10.7554/eLife.71335	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	RAF5034	increases lifespan	43.9	n/a	n/a			loss of function	gene modification to reduce protein activity/stability	neurons	10.7554/eLife.71335	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	RAF5033	increases lifespan	40.2	n/a	n/a		oxidation/antioxidant function,stress responce	loss of function	gene modification to reduce protein activity/stability	intestine	10.7554/eLife.71335	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	82	n/a	n/a		oxidation/antioxidant function,stress responce	loss of function	gene modification to reduce protein activity/stability		10.7554/eLife.71335	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	33.3	n/a	n/a		oxidation/antioxidant function,stress responce	loss of function	gene knockout		10.7554/eLife.71335	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	102	n/a	n/a		oxidation/antioxidant function,stress responce	loss of function	gene knockout		10.7554/eLife.71335	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	RAF2181	increases lifespan	132	n/a	n/a		oxidation/antioxidant function,stress responce	loss of function	gene modification to reduce protein activity/stability		10.7554/eLife.71335	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	RAF2181	increases lifespan	100	n/a	n/a		oxidation/antioxidant function,stress responce	loss of function	gene modification to reduce protein activity/stability		10.7554/eLife.71335	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	RAF2181	increases lifespan	96	n/a	n/a		oxidation/antioxidant function,stress responce	loss of function	gene modification to reduce protein activity/stability		10.7554/eLife.71335	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	RAF2181	increases lifespan	72	n/a	n/a		oxidation/antioxidant function,stress responce	loss of function	gene modification to reduce protein activity/stability		10.7554/eLife.71335	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	RAF2181	increases lifespan	49	n/a	n/a		oxidation/antioxidant function,stress responce	loss of function	gene modification to reduce protein activity/stability		10.7554/eLife.71335	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	RAF2181	increases lifespan	91	n/a	n/a		oxidation/antioxidant function,stress responce	loss of function	gene modification to reduce protein activity/stability		10.7554/eLife.71335	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	RAF2181	increases lifespan	56	n/a	n/a		oxidation/antioxidant function,stress responce	loss of function	gene modification to reduce protein activity/stability		10.7554/eLife.71335	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	RAF2181	increases lifespan	48	n/a	n/a		oxidation/antioxidant function,stress responce	loss of function	gene modification to reduce protein activity/stability		10.7554/eLife.71335	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	RAF2181	increases lifespan	57	n/a	n/a		oxidation/antioxidant function,stress responce	loss of function	gene modification to reduce protein activity/stability		10.7554/eLife.71335	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	RAF2181	increases lifespan	8	n/a	n/a		oxidation/antioxidant function,stress responce	loss of function	gene modification to reduce protein activity/stability		10.7554/eLife.71335	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	RAF2181	increases lifespan	21	n/a	n/a		oxidation/antioxidant function,stress responce	loss of function	gene modification to reduce protein activity/stability		10.7554/eLife.71335	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	RAF2181	increases lifespan	18	n/a	n/a		oxidation/antioxidant function,stress responce	loss of function	gene modification to reduce protein activity/stability		10.7554/eLife.71335	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	RAF2181	increases lifespan	17	n/a	n/a		oxidation/antioxidant function,stress responce	loss of function	gene modification to reduce protein activity/stability		10.7554/eLife.71335	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	n/a	70.4	82.6			loss of function	gene knockout		10.1534/genetics.110.115378	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	RAF2181	increases lifespan	68	n/a	n/a		oxidation/antioxidant function,stress responce	loss of function	gene modification to reduce protein activity/stability		10.7554/eLife.71335	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2H	increases lifespan	68.2	79.6	63.4			loss of function	gene modification		10.1111/acel.13324	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2H	increases lifespan	139.6	138.3	136.1			loss of function	gene modification		10.1111/acel.13324	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2H	increases lifespan	59.4	74.1	54.6			loss of function	gene modification		10.1111/acel.13324	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2H	increases lifespan	177.4	198.8	161.3			loss of function	gene modification		10.1111/acel.13324	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2H	increases lifespan	30.1	38.3	32.8			loss of function	gene modification		10.1111/acel.13324	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2H	increases lifespan	105.7	125	85.7			loss of function	gene modification		10.1111/acel.13324	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2H	increases lifespan	33.2	n/a	n/a			loss of function	gene modification		10.1111/acel.13324	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2H	increases lifespan	51.4	n/a	n/a			loss of function	gene modification		10.1111/acel.13324	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2H	increases lifespan	99.9	106.2	119.3			loss of function	gene modification		10.1111/acel.13324	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2H	increases lifespan	184	224.8	153.6			loss of function	gene modification		10.1111/acel.13324	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2H	increases lifespan	105.6	152.2	129.7			loss of function	gene modification		10.1111/acel.13324	n/a
IGF1R	roundworm Caenorhabditis elegans	hermaphrodites	N2H	increases lifespan	180.1	220.3	153.6			loss of function	gene modification		10.1111/acel.13324	n/a
